Basket Value,Count,Mean,Median,Value,%Value in total
0 to 9999,"1,131,474","7,518","8,182",8506864905.05,6.882370892105365
10000 to 19999,"2,096,496","14,529","13,636",30459215590.1,24.642641103800862
20000 to 29999,"949,013","24,808","24,545",23543326188.83,19.047428714796684
30000 to 39999,"535,425","34,481","34,545",18462232670.01,14.936634606237076
40000 to 49999,"181,265","45,113","44,762",8177490500.0,6.6158947174837435
50000 to 74999,"193,946","61,056","60,000",11841504266.0,9.58021846928353
75000 to 99999,"64,879","86,142","85,455",5588803909.0,4.521550744523102
100000 to 149999,"52,902","119,390","116,364",6315960543.0,5.10984757393108
150000 to 199999,"15,946","173,023","170,909",2759024904.0,2.2321540193510088
200000 to 249999,"6,758","221,116","220,000",1494300755.0,1.2089450267580828
250000 to 299999,"4,664","274,740","272,728",1281387538.0,1.0366902955990838
300000 to 349999,"2,133","321,482","317,273",685720716.0,0.5547736267811708
>=350000,"5,891","761,817","450,000",4487865113.0,3.6308502093492225
